#				
#   VizieR Astronomical Server vizier.u-strasbg.fr				
#    Date: 2021-04-23T06:47:17 [V1.99+ (14-Oct-2013)]				
#   In case of problem, please report to:	cds-question@unistra.fr			
#				
#				
#Coosys	J2000:	eq_FK5 J2000		
#INFO	votable-version=1.99+ (14-Oct-2013)			
#INFO	-ref=VIZ60826c0f15d4da			
#INFO	-out.max=9999			
#INFO	queryParameters=9			
#-oc.form=dec				
#-out.max=9999				
#-nav=cat:J/AJ/159/60&tab:{J/AJ/159/60/table1}&key:source=J/AJ/159/60/table1&HTTPPRM:&				
#-source=J/AJ/159/60/table1				
#-order=I				
#-out=TIC				
#-out=Sec				
#-out=Outbst				
#-out=Flare				
#				
				
#RESOURCE=yCat_51590060				
#Name: J/AJ/159/60				
#Title: 8695 flares from 1228 stars in TESS sectors 1 & 2 (Gunther+, 2020)				
#Table	J_AJ_159_60_table1:			
150359500	1	33	1	
150359500	1	34	1	
150359500	1	35	1	
150359500	1	36	1	
150359500	1	36	2	
150359500	1	37	1	
150359500	1	39	1	
150359500	1	40	1	
150359500	2	1	1	
150359500	2	2	1	
150359500	2	2	2	
150359500	2	3	1	
150359500	2	4	1	
150359500	2	5	1	
150359500	2	6	1	
150359500	2	7	1	
150359500	2	8	1	
150359500	2	9	1	
150359500	2	9	2	
150359500	2	10	1	
150359500	2	10	2	
150359500	2	11	1	
150359500	2	11	2	
150359500	2	12	1	
150359500	2	12	2	
150359500	2	13	1	
150359500	2	14	1	
150359500	2	14	2	
150359500	2	14	3	
150359500	2	15	1	
150359500	2	16	1	
150359500	2	16	2	
150359500	2	18	1	
150359500	2	19	1	
150359500	2	20	1	
150359500	2	20	2	
150359500	2	21	1	
150359500	2	23	1	
150359500	2	24	1	
150359500	2	24	2	
150359500	2	25	1	
150359500	2	26	1	
150359500	2	27	1	
150359500	2	27	2	
150359500	2	27	3	
150359500	2	28	1	
150359500	2	29	1	
150359500	2	30	1	
150359500	2	30	2	
150359500	2	32	1	
150359500	2	33	1	
150359500	2	34	1	
150359500	2	34	2	
150359500	2	35	1	
150359500	2	36	1	
150359500	2	37	1	
150359500	2	37	2	
150359500	2	38	1	
150359500	2	40	1	
150359500	2	41	1	
150359500	2	42	1	
150359500	2	42	2	
150359982	1	1	1	
150359982	1	2	1	
150359982	2	1	1	
150359982	2	2	1	
150359982	2	2	2	
150359982	2	2	3	
150359982	2	4	1	
150359982	2	5	1	
150359982	2	5	2	
150359982	2	6	1	
150359982	2	7	1	
150359982	2	8	1	
150391740	1	1	1	
150391740	1	2	1	
150393064	1	1	1	
150393064	1	2	1	
150393064	1	3	1	
150432211	1	3	1	
150432211	1	4	1	
150432211	1	5	1	
150432211	1	5	2	
150432211	1	6	1	
150432211	1	6	2	
150432211	1	6	3	
150432211	2	1	1	
150432211	2	2	1	
152088075	2	1	1	
152088075	2	2	1	
152088075	2	3	1	
152088075	2	5	1	
152875048	1	2	1	
154616669	2	1	1	
154616669	2	1	2	
154616669	2	2	1	
154616669	2	3	1	
154616669	2	4	1	
154842794	2	2	1	
154842794	2	2	2	
154842794	2	5	1	
154842794	2	7	1	
154842794	2	7	2	
154842794	2	8	1	
155776875	2	1	1	
155776875	2	1	2	
155776875	2	1	3	
155776875	2	3	1	
155776875	2	4	1	
155776875	2	4	2	
155895287	2	1	1	
155895287	2	2	1	
155895287	2	2	2	
155895287	2	3	1	
155895287	2	4	1	
155896947	2	2	1	
155896947	2	2	2	
155897483	2	1	1	
155991217	2	1	1	
155991217	2	3	1	
155991217	2	3	2	
156002545	2	1	1	
156002545	2	1	2	
156002545	2	2	1	
156002545	2	2	2	
156002545	2	2	3	
156002545	2	5	1	
156002545	2	6	1	
156002545	2	7	1	
156002545	2	9	1	
156002545	2	9	2	
156084049	2	1	1	
156084049	2	2	1	
156084049	2	4	1	
156084049	2	4	2	
158595208	2	2	1	
158595208	2	3	1	
158595208	2	3	2	
158595208	2	4	1	
158595208	2	5	1	
158595208	2	6	1	
158595208	2	6	2	
158595208	2	8	1	
158595208	2	8	2	
158595208	2	9	1	
158595208	2	10	1	
158595208	2	11	1	
158595208	2	12	1	
158595208	2	12	2	
158595208	2	12	3	
158595208	2	14	1	
158595208	2	16	1	
158595208	2	16	2	
158595208	2	16	3	
158596311	2	1	1	
158596311	2	2	1	
158596311	2	2	2	
158596311	2	3	1	
158623009	2	1	1	
158624542	2	1	1	
158624542	2	2	1	
158624542	2	3	1	
158624542	2	3	2	
158624542	2	4	1	
158646362	2	1	1	
160074646	2	1	1	
160074646	2	2	1	
160074646	2	2	2	
160074646	2	3	1	
160074646	2	4	1	
160074646	2	5	1	
160074646	2	5	2	
160113240	2	1	1	
160113240	2	2	1	
160113240	2	3	1	
160113240	2	3	2	
160113240	2	5	1	
161172848	1	1	1	
161172848	1	4	1	
161172848	1	4	2	
161174284	1	1	1	
161174284	1	3	1	
161174284	1	4	1	
161174284	1	5	1	
161174284	1	6	1	
161174284	1	7	1	
161174284	1	8	1	
161174284	1	9	1	
161174284	1	10	1	
161174284	1	11	1	
161174284	1	12	1	
161174284	1	13	1	
161174284	1	13	2	
161174284	1	14	1	
161174284	1	15	1	
161174284	1	15	2	
161174284	1	15	3	
161174286	1	1	1	
161174286	1	3	1	
161174286	1	4	1	
161174286	1	5	1	
161174286	1	6	1	
161174286	1	7	1	
161174286	1	8	1	
161174286	1	9	1	
161174286	1	10	1	
161174286	1	11	1	
161174286	1	12	1	
161174286	1	13	1	
161174286	1	13	2	
161174286	1	14	1	
161174286	1	16	1	
161174286	1	16	2	
161174286	1	16	3	
161175802	1	2	1	
161175802	1	4	1	
161175802	1	4	2	
161175802	1	4	3	
161175802	1	5	1	
161175809	1	1	1	
161267354	1	1	1	
161267354	1	2	1	
161356637	1	1	1	
161356637	1	1	2	
161356637	1	2	1	
161384122	1	1	1	
166739932	2	1	1	
166739932	2	1	2	
166739932	2	1	3	
166739932	2	2	1	
166739932	2	2	2	
166739932	2	2	3	
166787846	2	1	1	
166787846	2	2	1	
166787846	2	3	1	
166787846	2	3	2	
166787846	2	4	1	
166787846	2	6	1	
166787846	2	7	1	
166787846	2	7	2	
166787846	2	8	1	
166787846	2	8	2	
166787846	2	9	1	
166787846	2	10	1	
166787846	2	11	1	
166787846	2	13	1	
166808151	2	1	1	
166808151	2	2	1	
166808151	2	2	2	
166808151	2	3	1	
166808151	2	3	2	
166808151	2	4	1	
166808151	2	4	2	
166808151	2	5	1	
166808151	2	6	1	
166808151	2	6	2	
166808151	2	7	1	
166808151	2	8	1	
166808151	2	9	1	
166808151	2	10	1	
166808151	2	11	1	
166808151	2	12	1	
166808151	2	12	2	
166808151	2	13	1	
166808151	2	14	1	
166808151	2	15	1	
166808151	2	15	2	
166808151	2	16	1	
166808151	2	17	1	
166808151	2	17	2	
166808151	2	18	1	
166808151	2	18	2	
166808151	2	19	1	
166808151	2	20	1	
166808151	2	21	1	
166808151	2	21	2	
166808151	2	22	1	
166808151	2	22	2	
166808151	2	23	1	
166808151	2	23	2	
166808151	2	24	1	
166835568	2	1	1	
166835568	2	1	2	
166835568	2	2	1	
166835568	2	3	1	
166835568	2	4	1	
166835568	2	4	2	
166835568	2	6	1	
166835568	2	6	2	
166835568	2	7	1	
166835568	2	8	1	
166835568	2	9	1	
166835568	2	10	1	
166835568	2	11	1	
166835568	2	12	1	
166835568	2	13	1	
166835568	2	13	2	
166852312	2	1	1	
166852312	2	2	1	
166852312	2	4	1	
166852312	2	4	2	
166852312	2	6	1	
166852312	2	6	2	
166852312	2	7	1	
166852312	2	7	2	
166852312	2	8	1	
166852312	2	8	2	
166852312	2	10	1	
166852312	2	11	1	
166852312	2	12	1	
166852312	2	12	2	
166852312	2	13	1	
166852312	2	15	1	
166852312	2	15	2	
166972537	2	1	1	
167006919	2	1	1	
167006919	2	1	2	
167086201	2	1	1	
167086201	2	1	2	
167087044	2	1	1	
167087044	2	2	1	
167087044	2	4	1	
167087044	2	6	1	
167087044	2	6	2	
167087044	2	7	1	
167089430	1	1	1	
167163906	1	1	1	
167163906	1	2	1	
167163906	1	3	1	
167163906	2	1	1	
167163906	2	2	1	
167163906	2	4	1	
167163906	2	4	2	
167163906	2	5	1	
167163906	2	6	1	
167163906	2	6	2	
167164775	1	1	1	
167165793	1	1	1	
167165793	1	2	1	
167165793	1	3	1	
167165793	1	3	2	
167165793	1	4	1	
167165793	2	1	1	
167165793	2	2	1	
167165793	2	2	2	
167207566	1	2	1	
167207566	1	2	2	
167207566	1	3	1	
167207566	1	4	1	
167207566	1	5	1	
167207566	2	1	1	
167207566	2	2	1	
167207566	2	3	1	
167207809	2	1	1	
167247077	1	1	1	
167247077	1	2	1	
167247077	1	3	1	
167247077	1	4	1	
167247077	2	1	1	
167247077	2	2	1	
167247077	2	3	1	
167247077	2	4	1	
167305187	2	1	1	
167305187	2	2	1	
167305187	2	3	1	
167306154	2	1	1	
167306154	2	2	1	
167344029	2	1	1	
167344029	2	2	1	
167344029	2	3	1	
167344029	2	4	1	
167344029	2	5	1	
167344029	2	6	1	
167344029	2	6	2	
167344043	1	1	1	
167344043	1	1	2	
167344043	1	2	1	
167344043	1	3	1	
167344043	1	4	1	
167344043	1	5	1	
167344043	1	8	1	
167344043	1	9	1	
167344043	1	9	2	
167344043	1	11	1	
167344043	1	11	2	
167344043	1	12	1	
167344043	2	1	1	
167344043	2	2	1	
167344043	2	3	1	
167344043	2	3	2	
167344043	2	4	1	
167344043	2	5	1	
167344043	2	6	1	
167344043	2	8	1	
167344043	2	9	1	
167344043	2	10	1	
167344043	2	11	1	
167344043	2	11	2	
167344043	2	11	3	
167344043	2	12	1	
167344043	2	12	2	
167344043	2	13	1	
167344043	2	14	1	
167344043	2	15	1	
167344043	2	16	1	
167344043	2	16	2	
167344043	2	17	1	
167344197	1	2	1	
167344197	1	2	2	
167417695	2	2	1	
167422188	2	1	1	
167524310	1	1	1	
167524563	1	1	1	
167524563	1	1	2	
167524563	1	1	3	
167524563	1	2	1	
167525513	1	1	1	
167525513	1	2	1	
167525513	1	2	2	
167525513	1	2	3	
167549764	1	1	1	
167549764	1	2	1	
167549764	1	3	1	
167574282	1	1	1	
167574282	1	3	1	
167574282	1	4	1	
167574282	1	5	1	
167574282	2	1	1	
167574282	2	1	2	
167574282	2	2	1	
167574282	2	3	1	
167574282	2	4	1	
167574282	2	4	2	
167574282	2	4	3	
167574282	2	5	1	
167574282	2	6	1	
167602025	1	1	1	
167602025	1	2	1	
167602025	1	2	2	
167602025	1	3	1	
167602025	1	4	1	
167602025	1	4	2	
167602025	2	2	1	
167695269	1	1	1	
167695269	1	2	1	
167695269	1	3	1	
167696018	1	1	1	
167696018	1	2	1	
167696018	1	4	1	
167696018	1	5	1	
167696018	1	6	1	
167696018	1	7	1	
167696018	1	8	1	
167696018	1	9	1	
167696018	1	9	2	
167696018	2	2	1	
167696018	2	3	1	
167696018	2	4	1	
167696018	2	4	2	
167719689	2	1	1	
167812509	1	1	1	
167812509	1	2	1	
167812509	1	3	1	
167812509	2	1	1	
167812509	2	2	1	
167812509	2	2	2	
167812509	2	3	1	
167812509	2	3	2	
167814740	1	1	1	
167814740	1	2	1	
167814740	1	2	2	
167814740	1	3	1	
167814740	1	4	1	
167814740	2	1	1	
167814740	2	1	2	
167814740	2	2	1	
167814740	2	3	1	
167814740	2	4	1	
167814740	2	4	2	
167894019	1	1	1	
167894019	1	2	1	
167894019	1	3	1	
167894019	1	4	1	
167894019	1	5	1	
167894019	2	1	1	
167894019	2	1	2	
167894019	2	2	1	
167894019	2	3	1	
167894019	2	4	1	
169253572	2	1	1	
175298549	2	1	1	
175298549	2	2	1	
175298549	2	3	1	
175456846	2	1	1	
175456846	2	1	2	
176873028	1	1	1	
176873028	1	1	2	
176873028	1	2	1	
176873028	1	3	1	
176873028	1	3	2	
176873028	2	1	1	
176873028	2	1	2	
176873028	2	2	1	
176955267	1	1	1	
176955267	1	1	2	
176955267	1	2	1	
176955267	1	4	1	
176955267	1	4	2	
176955267	1	5	1	
176955267	1	5	2	
176955267	1	6	1	
176955267	1	6	2	
176955267	1	7	1	
176955267	1	8	1	
176955267	1	9	1	
176955267	1	11	1	
176955267	1	12	1	
176955267	1	13	1	
176955267	2	1	1	
176955267	2	2	1	
176955267	2	2	2	
176955267	2	3	1	
176955267	2	4	1	
176955267	2	6	1	
176955267	2	7	1	
176955267	2	8	1	
176955267	2	9	1	
176955267	2	9	2	
176955267	2	9	3	
176955267	2	9	4	
176955267	2	10	1	
176955267	2	11	1	
176955267	2	12	1	
176955267	2	13	1	
176980970	1	3	1	
176980970	1	4	1	
176980970	1	5	1	
176980970	1	6	1	
176980970	1	7	1	
176980970	1	7	2	
176980970	2	1	1	
176980970	2	2	1	
176980970	2	3	1	
177036977	1	1	1	
177036977	1	3	1	
177036977	1	4	1	
177036977	1	5	1	
177036977	1	6	1	
177036977	2	1	1	
177036977	2	2	1	
177036977	2	3	1	
177115978	1	1	1	
177115978	2	1	1	
177115978	2	1	2	
177116487	1	2	1	
177116487	1	2	2	
177116487	1	3	1	
177116487	1	4	1	
177116487	1	5	1	
177116487	2	1	1	
177116487	2	2	1	
177116487	2	3	1	
177165867	1	1	1	
177165867	1	2	1	
177165867	1	2	2	
177165867	2	1	1	
177165867	2	1	2	
177165867	2	1	3	
177165867	2	2	1	
177165867	2	2	2	
177174910	2	1	1	
177174910	2	2	1	
177174910	2	3	1	
177252917	1	1	1	
177255827	1	1	1	
177255827	1	2	1	
177255827	2	2	1	
177255827	2	3	1	
177255827	2	3	2	
177255827	2	4	1	
177255827	2	5	1	
177255827	2	6	1	
177255827	2	7	1	
177309964	1	1	1	
177309964	1	2	1	
177309964	1	4	1	
177309964	1	4	2	
177309964	2	1	1	
177309964	2	2	1	
177309964	2	3	1	
177309964	2	4	1	
177309964	2	4	2	
177309964	2	4	3	
177309964	2	5	1	
177309964	2	7	1	
177313167	1	2	1	
177313167	1	3	1	
177313167	2	1	1	
177352893	1	2	1	
177352893	1	2	2	
177352893	1	3	1	
177352893	1	6	1	
177352893	1	6	2	
177352893	1	7	1	
177352893	1	8	1	
177352893	1	10	1	
177353450	1	2	1	
177353450	1	3	1	
177353450	1	4	1	
177353450	1	5	1	
177353450	1	6	1	
177353450	1	7	1	
177353450	1	7	2	
177353450	1	8	1	
177353450	1	9	1	
177353450	1	10	1	
177389302	1	3	1	
179038379	1	1	1	
179038379	1	2	1	
179038379	1	3	1	
179038379	1	4	1	
179038379	1	5	1	
179038379	1	5	2	
179038379	1	7	1	
179040607	1	1	1	
179040607	1	1	2	
179040607	1	1	3	
179040607	2	1	1	
179040607	2	2	1	
179040607	2	2	2	
179040607	2	3	1	
179040607	2	4	1	
179040607	2	5	1	
179040607	2	5	2	
179315999	2	2	1	
179369970	1	1	1	
179440946	2	1	1	
179440946	2	1	2	
179440946	2	2	1	
179440946	2	2	2	
180412528	1	1	1	
180412528	1	2	1	
180412528	1	4	1	
180412528	1	6	1	
180412528	1	8	1	
180412528	1	8	2	
180412528	1	8	3	
180412528	1	10	1	
180412528	1	11	1	
180443507	2	1	1	
180552080	2	2	1	
180724005	2	1	1	
180872017	2	1	1	
180872017	2	1	2	
180872017	2	2	1	
180872017	2	3	1	
183306102	1	1	1	
183535753	2	1	1	
183535753	2	2	1	
183535753	2	3	1	
183535753	2	4	1	
183562569	2	1	1	
183562569	2	2	1	
183562569	2	2	2	
183562569	2	3	1	
183562569	2	3	2	
183562569	2	3	3	
183588878	2	1	1	
183588878	2	2	1	
183596242	2	1	1	
183596242	2	2	1	
183596242	2	3	1	
183596242	2	3	2	
183984201	2	1	1	
183984201	2	1	2	
183984201	2	2	1	
183984201	2	2	2	
183984201	2	3	1	
188573066	2	1	1	
188586529	2	1	1	
188586529	2	2	1	
188586529	2	3	1	
188586529	2	3	2	
188586529	2	3	3	
188586529	2	5	1	
188586529	2	5	2	
188586529	2	6	1	
188586529	2	6	2	
188586529	2	7	1	
188586529	2	8	1	
188586529	2	9	1	
188586529	2	10	1	
188586529	2	11	1	
188586529	2	12	1	
188586529	2	12	2	
188586529	2	13	1	
188586529	2	14	1	
188626183	2	1	1	
188626183	2	1	2	
188626183	2	2	1	
188626183	2	3	1	
188626183	2	5	1	
188626183	2	6	1	
188626183	2	7	1	
197598732	1	1	1	
197598732	1	2	1	
197598732	1	3	1	
197598732	1	4	1	
197644539	1	1	1	
197644539	1	3	1	
197644539	1	5	1	
197644539	1	8	1	
197644539	1	9	1	
197644539	1	10	1	
197644539	1	10	2	
197644539	1	10	3	
197644539	1	11	1	
197644539	1	12	1	
197644539	1	12	2	
197757864	1	1	1	
197757864	1	4	1	
197787320	2	1	1	
197787320	2	2	1	
197787320	2	3	1	
197787320	2	4	1	
197787320	2	5	1	
197787320	2	5	2	
197787320	2	6	1	
197787320	2	7	1	
197787320	2	8	1	
197790801	2	1	1	
197790801	2	2	1	
197790801	2	3	1	
197790801	2	4	1	
197790801	2	5	1	
197806534	2	1	1	
197829751	2	2	1	
197829751	2	3	1	
197829751	2	4	1	
197829751	2	5	1	
197829751	2	6	1	
197829751	2	6	2	
197829751	2	6	3	
197829751	2	7	1	
197829751	2	7	2	
197829751	2	8	1	
197829751	2	8	2	
197829751	2	9	1	
197866263	2	1	1	
197866263	2	2	1	
197866263	2	3	1	
197866263	2	3	2	
197866263	2	4	1	
197866263	2	5	1	
197866263	2	5	2	
197866263	2	6	1	
197866263	2	7	1	
197866263	2	7	2	
197866263	2	8	1	
197866266	2	1	1	
197866266	2	1	2	
197866266	2	3	1	
197866266	2	4	1	
197866266	2	4	2	
197866266	2	5	1	
197866266	2	6	1	
197866266	2	7	1	
197866266	2	7	2	
197879574	2	1	1	
197884260	2	1	1	
197884260	2	3	1	
197884260	2	3	2	
197884260	2	3	3	
197884260	2	4	1	
197884260	2	6	1	
197884260	2	6	2	
197891904	2	2	1	
197891904	2	3	1	
197891904	2	4	1	
197891904	2	4	2	
197891904	2	6	1	
197933191	2	1	1	
197961755	1	1	1	
197961755	1	1	2	
197961755	1	2	1	
197961755	1	3	1	
197987557	1	2	1	
198003939	2	1	1	
198003939	2	2	1	
198003939	2	2	2	
198003939	2	3	1	
198006712	2	1	1	
198006712	2	2	1	
198034151	2	1	1	
198034151	2	1	2	
198034151	2	2	1	
198034151	2	3	1	
198034151	2	4	1	
198034151	2	4	2	
198034151	2	5	1	
198034151	2	6	1	
198034151	2	7	1	
198034151	2	9	1	
198034151	2	10	1	
198034151	2	10	2	
198073312	2	1	1	
198076334	2	1	1	
198076334	2	2	1	
200668936	2	1	1	
200668936	2	2	1	
200668936	2	2	2	
200668936	2	2	3	
200668936	2	3	1	
200769811	2	2	1	
200769811	2	3	1	
200769811	2	4	1	
200769811	2	5	1	
200769811	2	6	1	
200769811	2	7	1	
200769811	2	8	1	
200769811	2	8	2	
200769811	2	8	3	
201226029	1	1	1	
201226029	1	2	1	
201226029	2	1	1	
201226029	2	2	1	
201226029	2	3	1	
201226029	2	3	2	
201233593	2	1	1	
201233593	2	2	1	
201235367	2	1	1	
201248233	2	1	1	
201250285	1	1	1	
201250285	2	1	1	
201250285	2	2	1	
201251167	2	3	1	
201252826	1	1	1	
201252826	1	2	1	
201252826	1	3	1	
201252826	2	1	1	
201252826	2	2	1	
201252826	2	3	1	
201252826	2	3	2	
201252826	2	4	1	
201252826	2	5	1	
201289286	2	1	1	
201289286	2	2	1	
201289286	2	3	1	
201289286	2	4	1	
201289286	2	4	2	
201289286	2	5	1	
201289286	2	5	2	
201292296	1	1	1	
201292296	1	1	2	
201292296	1	3	1	
201292296	1	3	2	
201292296	1	4	1	
201292296	1	5	1	
201292296	1	6	1	
201292296	1	9	1	
201292296	1	10	1	
201292296	1	11	1	
201292296	1	11	2	
201292296	2	1	1	
201292296	2	2	1	
201292296	2	3	1	
201292296	2	3	2	
201292296	2	4	1	
201292296	2	5	1	
201292296	2	5	2	
201292296	2	6	1	
201292296	2	8	1	
201292296	2	8	2	
201292296	2	9	1	
201292296	2	10	1	
201292296	2	13	1	
201292296	2	14	1	
201292296	2	15	1	
201292296	2	16	1	
201292296	2	17	1	
201292296	2	17	2	
201292296	2	18	1	
201292296	2	19	1	
201307948	2	1	1	
201752612	2	1	1	
201753428	2	1	1	
201753428	2	2	1	
201753428	2	3	1	
201753428	2	4	1	
201753428	2	6	1	
201753428	2	7	1	
201753428	2	8	1	
201753428	2	9	1	
201753428	2	9	2	
201753428	2	10	1	
201753428	2	10	2	
201753428	2	12	1	
201753428	2	13	1	
201753428	2	13	2	
201753428	2	14	1	
201753428	2	15	1	
201753428	2	16	1	
201753428	2	16	2	
201753428	2	17	1	
201753428	2	18	1	
201753428	2	19	1	
201753428	2	20	1	
201753428	2	21	1	
201753428	2	22	1	
201753428	2	24	1	
201789285	2	1	1	
201792346	2	1	1	
201792346	2	3	1	
201792346	2	4	1	
201792346	2	5	1	
201792346	2	6	1	
201792346	2	7	1	
201792346	2	8	1	
201792346	2	8	2	
201792346	2	9	1	
201792346	2	9	2	
201792346	2	10	1	
201792346	2	12	1	
201792346	2	13	1	
201792346	2	13	2	
201792346	2	14	1	
201792346	2	15	1	
201792346	2	16	1	
201792346	2	17	1	
201792346	2	17	2	
201792346	2	18	1	
201792346	2	19	1	
201792346	2	20	1	
201792346	2	21	1	
201792346	2	22	1	
201792346	2	22	2	
201792346	2	22	3	
201792346	2	23	1	
201792346	2	24	1	
201792346	2	25	1	
201792346	2	25	2	
201792346	2	25	3	
201792346	2	26	1	
201795667	2	1	1	
201795667	2	2	1	
201795667	2	3	1	
201795667	2	5	1	
201795667	2	5	2	
201795667	2	5	3	
201795667	2	6	1	
201795667	2	7	1	
201795667	2	7	2	
201795667	2	8	1	
201795667	2	9	1	
201795667	2	10	1	
201795667	2	11	1	
201795667	2	12	1	
201795667	2	13	1	
201795667	2	14	1	
201795667	2	16	1	
201795667	2	16	2	
201795667	2	17	1	
201795667	2	18	1	
201795667	2	19	1	
201795667	2	19	2	
201795667	2	20	1	
201795667	2	20	2	
201795667	2	21	1	
201795667	2	22	1	
201795667	2	22	2	
201795667	2	23	1	
201795667	2	24	1	
201795667	2	25	1	
201795667	2	25	2	
201795716	2	1	1	
201795716	2	2	1	
201799091	2	1	1	
201857950	2	1	1	
201857950	2	2	1	
201857950	2	3	1	
201857950	2	4	1	
201858667	2	1	1	
201858667	2	2	1	
201858667	2	4	1	
201860785	2	1	1	
201860787	2	1	1	
201861769	2	1	1	
201861769	2	1	2	
201861769	2	2	1	
201878287	2	1	1	
201878287	2	2	1	
201878287	2	4	1	
201878287	2	4	2	
201878287	2	6	1	
201878287	2	7	1	
201878287	2	7	2	
201878287	2	7	3	
201878287	2	7	4	
201878287	2	8	1	
201878287	2	9	1	
201878287	2	10	1	
201878287	2	11	1	
201878287	2	11	2	
201878287	2	11	3	
201878287	2	12	1	
201878287	2	12	2	
201878287	2	14	1	
201878287	2	15	1	
201878287	2	16	1	
201879471	2	1	1	
201883033	2	1	1	
201883033	2	1	2	
201883033	2	3	1	
201883033	2	3	2	
201883033	2	3	3	
201883033	2	4	1	
201883033	2	5	1	
201883033	2	6	1	
201883033	2	6	2	
201883033	2	7	1	
201883033	2	8	1	
201883033	2	9	1	
201883033	2	9	2	
201883033	2	10	1	
201883033	2	10	2	
201883033	2	10	3	
201883033	2	11	1	
201883033	2	11	2	
201883033	2	12	1	
201883033	2	12	2	
201883033	2	13	1	
201883033	2	13	2	
201883033	2	14	1	
201883033	2	14	2	
201883033	2	15	1	
201883033	2	16	1	
201883033	2	18	1	
201883033	2	19	1	
201883033	2	19	2	
201883033	2	20	1	
201883033	2	20	2	
201883033	2	20	3	
201883033	2	20	4	
201883033	2	21	1	
201883033	2	22	1	
201883033	2	22	2	
201883033	2	23	1	
201883033	2	24	1	
201883033	2	25	1	
201883033	2	26	1	
201883033	2	27	1	
201883033	2	27	2	
201883033	2	28	1	
201883033	2	29	1	
201883033	2	30	1	
201883033	2	30	2	
201883033	2	31	1	
201883033	2	32	1	
201883033	2	33	1	
201883033	2	34	1	
201883033	2	36	1	
201883033	2	37	1	
201883033	2	38	1	
201883033	2	39	1	
201883033	2	40	1	
201883033	2	40	2	
201897406	2	1	1	
201897406	2	2	1	
201897406	2	3	1	
201897406	2	5	1	
201897406	2	6	1	
201897406	2	7	1	
201897406	2	8	1	
201897406	2	9	1	
201897406	2	9	2	
201897406	2	9	3	
201897406	2	11	1	
201897406	2	12	1	
201897406	2	12	2	
201897406	2	12	3	
201897406	2	13	1	
201898220	2	3	1	
201898220	2	4	1	
201898220	2	5	1	
201898220	2	6	1	
201898220	2	7	1	
201898220	2	9	1	
201898220	2	10	1	
201898220	2	12	1	
201898220	2	13	1	
201898220	2	14	1	
201898220	2	15	1	
201898220	2	16	1	
201898222	2	1	1	
201898222	2	2	1	
201898222	2	3	1	
201898222	2	4	1	
201898222	2	5	1	
201898222	2	5	2	
201898222	2	6	1	
201898222	2	6	2	
201898222	2	8	1	
201919099	2	2	1	
201919099	2	3	1	
201919099	2	4	1	
201919099	2	5	1	
201919099	2	5	2	
201919099	2	7	1	
201919099	2	8	1	
201920975	2	1	1	
201920975	2	1	2	
201938513	2	1	1	
201938513	2	2	1	
201938513	2	3	1	
201938513	2	4	1	
201938513	2	4	2	
201938513	2	5	1	
201938513	2	7	1	
201938513	2	8	1	
201938513	2	8	2	
201938513	2	9	1	
201938513	2	10	1	
201938513	2	11	1	
201938513	2	11	2	
204322922	2	1	1	
204322922	2	2	1	
204322922	2	3	1	
204322922	2	4	1	
204375878	2	1	1	
204450571	1	1	1	
204450571	1	2	1	
204450571	1	3	1	
204450571	1	4	1	
204450571	1	5	1	
206283441	2	1	1	
206327047	2	1	1	
206327795	1	1	1	
206327795	1	1	2	
206327795	1	3	1	
206327795	1	3	2	
206327795	1	4	1	
206327795	1	5	1	
206327795	1	6	1	
206327795	1	6	2	
206327795	1	8	1	
206327795	1	8	2	
206327795	1	8	3	
206327795	1	9	1	
206327795	1	10	1	
206327795	1	11	1	
206327797	1	1	1	
206327797	1	2	1	
206327797	1	3	1	
206327797	1	3	2	
206353405	2	1	1	
206353405	2	2	1	
206358152	2	1	1	
206358152	2	1	2	
206473269	1	1	1	
206502540	2	1	1	
206502540	2	2	1	
206502540	2	3	1	
206502540	2	4	1	
206502540	2	5	1	
206502540	2	6	1	
206502540	2	7	1	
206502540	2	8	1	
206502540	2	8	2	
206502540	2	9	1	
206502540	2	10	1	
206502540	2	12	1	
206502540	2	13	1	
206502540	2	13	2	
206502540	2	13	3	
206502540	2	14	1	
206502540	2	15	1	
206502540	2	17	1	
206529986	1	1	1	
206537793	1	1	1	
206537793	1	2	1	
206537793	1	2	2	
206537793	1	4	1	
206537793	1	4	2	
206537793	1	5	1	
206537793	1	6	1	
206537793	1	7	1	
206537793	1	8	1	
206537793	1	8	2	
206537793	1	11	1	
206537793	1	13	1	
206537793	1	14	1	
206537793	1	15	1	
206537793	1	16	1	
206537793	1	17	1	
206542524	2	2	1	
206544316	1	1	1	
206544316	1	1	2	
206544316	1	1	3	
206544316	1	2	1	
206544316	1	3	1	
206544316	1	3	2	
206544316	1	4	1	
206544316	1	5	1	
206544316	1	6	1	
206544316	1	6	2	
206544316	2	1	1	
206548902	2	2	1	
206556127	1	1	1	
206556127	1	1	2	
206592394	2	1	1	
206592394	2	2	1	
206592394	2	2	2	
206592394	2	2	3	
206592394	2	3	1	
206592394	2	4	1	
206592394	2	5	1	
206592394	2	6	1	
206592394	2	6	2	
206592394	2	7	1	
206592394	2	7	2	
206592394	2	8	1	
206592394	2	8	2	
206592394	2	9	1	
206592394	2	10	1	
206592394	2	10	2	
206592394	2	11	1	
206592394	2	11	2	
206592394	2	11	3	
206592394	2	11	4	
206592394	2	11	5	
206592394	2	12	1	
